,Unnamed: 0,SHS_ID,PRIORITY_DEC,WELCHOL_DECILE,NEW_SEGMENT,YEARMONTH,WEL_TOTAL_TMOT,NRx,TRx,EMAIL_OPEN,EMAIL_SEND,PDEs,Calls,DSI_SAMPLES,CSS_Samples,total_paid,Copay_card,paid_copay,tmot_supplied,WELCHOL_KICKER_FLAG,WELCHOL_90_DAYS_RX_FLAG,sales_contest,NRx_1,NRx_2,NRx_3,NRx_4,PDE_1,PDE_2,PDE_transformed,DSI_SAMPLES_transformed,CSS_Samples_transformed,tmot_supplied_transformed,PDE_transformed_with_lags
0,1,4582,LOW,4,Writer not called,201509,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,
1,2,4582,LOW,4,Writer not called,201510,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
2,3,4582,LOW,4,Writer not called,201511,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,4582,LOW,4,Writer not called,201512,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,4582,LOW,4,Writer not called,201601,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,4582,LOW,4,Writer not called,201602,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,4582,LOW,4,Writer not called,201603,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,4582,LOW,4,Writer not called,201604,2.57100009918213,2,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,4582,LOW,4,Writer not called,201605,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,4582,LOW,4,Writer not called,201606,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,4582,LOW,4,Writer not called,201607,2.57100009918213,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,4582,LOW,4,Writer not called,201608,5.14300012588501,1,4,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,4582,LOW,4,Writer not called,201609,2.57200002670288,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,4582,LOW,4,Writer not called,201610,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,4582,LOW,4,Writer not called,201611,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,4582,LOW,4,Writer not called,201612,2.57100009918213,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,4582,LOW,4,Writer not called,201701,2.57100009918213,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,4582,LOW,4,Writer not called,201702,2.57200002670288,1,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,4582,LOW,4,Writer not called,201703,2.57100009918213,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,4582,LOW,4,Writer not called,201704,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,4582,LOW,4,Writer not called,201705,2.57100009918213,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,4582,LOW,4,Writer not called,201706,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,4582,LOW,4,Writer not called,201707,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,4582,LOW,4,Writer not called,201708,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,4883,LOW,3,Writer not called,201509,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,
25,26,4883,LOW,3,Writer not called,201510,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
26,27,4883,LOW,3,Writer not called,201511,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,4883,LOW,3,Writer not called,201512,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29,4883,LOW,3,Writer not called,201601,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,4883,LOW,3,Writer not called,201602,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,4883,LOW,3,Writer not called,201603,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,4883,LOW,3,Writer not called,201604,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,4883,LOW,3,Writer not called,201605,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,4883,LOW,3,Writer not called,201606,3.85700011253357,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,35,4883,LOW,3,Writer not called,201607,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,4883,LOW,3,Writer not called,201608,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,37,4883,LOW,3,Writer not called,201609,3.85700011253357,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,4883,LOW,3,Writer not called,201610,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39,4883,LOW,3,Writer not called,201611,1.28600001335144,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,4883,LOW,3,Writer not called,201612,3.85700011253357,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,41,4883,LOW,3,Writer not called,201701,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42,4883,LOW,3,Writer not called,201702,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,4883,LOW,3,Writer not called,201703,3.85700011253357,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,44,4883,LOW,3,Writer not called,201704,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,45,4883,LOW,3,Writer not called,201705,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,46,4883,LOW,3,Writer not called,201706,3.85700011253357,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,47,4883,LOW,3,Writer not called,201707,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,48,4883,LOW,3,Writer not called,201708,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,49,9274,LOW,3,Writer not called,201509,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,
49,50,9274,LOW,3,Writer not called,201510,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
50,51,9274,LOW,3,Writer not called,201511,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
